"time","station","Cond","DOpct","Sal","Temp","Turb","pH"
2023-01-01 00:00:00.000 -0500,Ada,515.8,99.9,0.39,6.482,9.22,7.3
2023-01-01 00:15:00.000 -0500,Ada,513.6,100.2,0.39,6.475,9.19,7.3
2023-01-01 00:30:00.000 -0500,Ada,515.9,99.5,0.39,6.495,9.23,7.31
2023-01-01 00:45:00.000 -0500,Ada,515.1,98.9,0.39,6.494,9.36,7.3
2023-01-01 01:00:00.000 -0500,Ada,513.4,100.1,0.39,6.492,9.35,7.31
2023-01-01 01:15:00.000 -0500,Ada,513.5,96.5,0.39,6.475,9.54,7.3
2023-01-01 01:30:00.000 -0500,Ada,517.7,98.0,0.39,6.487,9.41,7.3
2023-01-01 01:45:00.000 -0500,Ada,512.3,99.6,0.39,6.446,9.35,7.31
2023-01-01 02:00:00.000 -0500,Ada,507.4,99.0,0.39,6.457,9.27,7.3
2023-01-01 02:15:00.000 -0500,Ada,516.7,98.6,0.39,6.466,9.33,7.3
2023-01-01 02:30:00.000 -0500,Ada,513.8,98.9,0.39,6.449,9.27,7.3
2023-01-01 02:45:00.000 -0500,Ada,524.3,97.4,0.4,6.465,9.64,7.29
2023-01-01 03:00:00.000 -0500,Ada,505.0,98.3,0.38,6.407,9.69,7.3
2023-01-01 03:15:00.000 -0500,Ada,513.2,98.4,0.39,6.44,9.29,7.3
2023-01-01 03:30:00.000 -0500,Ada,516.3,96.7,0.39,6.46,9.33,7.29
2023-01-01 03:45:00.000 -0500,Ada,514.1,99.9,0.39,6.471,9.75,7.3
2023-01-01 04:00:00.000 -0500,Ada,514.8,99.6,0.39,6.496,9.59,7.3
2023-01-01 04:15:00.000 -0500,Ada,516.3,97.9,0.39,6.501,9.59,7.3
2023-01-01 04:30:00.000 -0500,Ada,514.3,97.5,0.39,6.475,9.47,7.31
2023-01-01 04:45:00.000 -0500,Ada,516.6,97.7,0.39,6.475,9.57,7.3
2023-01-01 05:00:00.000 -0500,Ada,513.6,96.4,0.39,6.452,9.45,7.3
2023-01-01 05:15:00.000 -0500,Ada,513.1,96.4,0.39,6.43,9.23,7.3
2023-01-01 05:30:00.000 -0500,Ada,515.5,96.1,0.39,6.419,9.34,7.3
2023-01-01 05:45:00.000 -0500,Ada,511.6,96.6,0.39,6.423,9.93,7.3
2023-01-01 06:00:00.000 -0500,Ada,514.7,97.7,0.39,6.428,9.16,7.3
2023-01-01 06:15:00.000 -0500,Ada,506.7,95.5,0.39,6.39,9.39,7.3
2023-01-01 06:30:00.000 -0500,Ada,504.5,96.6,0.38,6.421,9.15,7.3
2023-01-01 06:45:00.000 -0500,Ada,514.5,95.3,0.39,6.421,9.87,7.3
2023-01-01 07:00:00.000 -0500,Ada,511.9,95.4,0.39,6.41,9.28,7.3
2023-01-01 07:15:00.000 -0500,Ada,506.7,96.1,0.39,6.373,9.05,7.3
2023-01-01 07:30:00.000 -0500,Ada,503.8,97.9,0.38,6.352,9.16,7.31
2023-01-01 07:45:00.000 -0500,Ada,510.4,95.9,0.39,6.402,9.2,7.3
2023-01-01 08:00:00.000 -0500,Ada,504.6,96.8,0.38,6.33,12.09,7.3
2023-01-01 08:15:00.000 -0500,Ada,513.2,98.7,0.39,6.406,9.22,7.3
2023-01-01 08:30:00.000 -0500,Ada,498.7,94.9,0.38,6.289,9.88,7.29
2023-01-01 08:45:00.000 -0500,Ada,506.5,97.4,0.39,6.341,9.72,7.3
2023-01-01 09:00:00.000 -0500,Ada,496.6,97.3,0.38,6.345,9.27,7.3
2023-01-01 09:15:00.000 -0500,Ada,508.3,95.8,0.39,6.339,9.07,7.29
2023-01-01 09:30:00.000 -0500,Ada,504.2,95.0,0.38,6.34,9.22,7.29
2023-01-01 09:45:00.000 -0500,Ada,499.9,97.5,0.38,6.363,9.1,7.3
2023-01-01 10:00:00.000 -0500,Ada,484.9,96.3,0.37,6.255,9.72,7.3
2023-01-01 10:15:00.000 -0500,Ada,499.6,97.2,0.38,6.383,9.56,7.3
2023-01-01 10:30:00.000 -0500,Ada,500.0,99.2,0.38,6.369,9.75,7.31
2023-01-01 10:45:00.000 -0500,Ada,510.7,99.3,0.39,6.384,9.36,7.31
2023-01-01 11:00:00.000 -0500,Ada,518.9,99.9,0.4,6.398,9.73,7.32
2023-01-01 11:15:00.000 -0500,Ada,521.6,97.9,0.4,6.488,9.32,7.3
2023-01-01 11:30:00.000 -0500,Ada,494.2,99.5,0.38,6.38,10.43,7.31
2023-01-01 11:45:00.000 -0500,Ada,530.8,98.0,0.4,6.537,9.74,7.3
2023-01-01 12:00:00.000 -0500,Ada,528.4,98.0,0.4,6.605,9.21,7.29
2023-01-01 12:15:00.000 -0500,Ada,528.9,99.0,0.4,6.569,9.9,7.3
2023-01-01 12:30:00.000 -0500,Ada,491.2,99.1,0.37,6.396,10.02,7.31
2023-01-01 12:45:00.000 -0500,Ada,519.6,100.0,0.39,6.504,11.26,7.31
2023-01-01 13:00:00.000 -0500,Ada,513.5,100.6,0.39,6.52,10.93,7.31
2023-01-01 13:15:00.000 -0500,Ada,514.9,100.3,0.39,6.572,10.74,7.31
2023-01-01 13:30:00.000 -0500,Ada,505.2,103.5,0.38,6.545,10.47,7.32
2023-01-01 13:45:00.000 -0500,Ada,496.1,101.3,0.38,6.467,10.33,7.33
2023-01-01 14:00:00.000 -0500,Ada,488.6,101.4,0.37,6.424,10.28,7.33
2023-01-01 14:15:00.000 -0500,Ada,507.9,98.5,0.39,6.53,10.66,7.3
2023-01-01 14:30:00.000 -0500,Ada,507.8,100.2,0.38,6.629,10.26,7.31
2023-01-01 14:45:00.000 -0500,Ada,527.7,99.2,0.4,6.609,10.33,7.31
2023-01-01 15:00:00.000 -0500,Ada,508.1,100.3,0.38,6.571,10.81,7.31
2023-01-01 15:15:00.000 -0500,Ada,504.8,100.7,0.38,6.569,10.08,7.31
2023-01-01 15:30:00.000 -0500,Ada,520.7,99.4,0.39,6.617,9.97,7.3
